"New College of the University of South Florida	",n
"New Jersey Institute of Technology	",n
"New Mexico State University	",n
"New School	",n
"New York University	",n
"North Carolina State University--Raleigh	",n
"North Dakota State University	",n
"Northeastern University	",n
"Northern Illinois University	",n
"Northwestern University	",y
"Nova Southeastern University	",n
"Oberlin College	",n
"Occidental College	",n
"Oglethorpe University	",n
"Ohio State University--Columbus	",n
"Ohio University	",n
"Ohio Wesleyan University	",n
"Oklahoma State University	",n
"Old Dominion University	",n
"Oregon State University	",n
"Pace University	",n
"Pennsylvania State University--University Park	",n
"Pepperdine University	",n
"Pitzer College	",n
"Pomona College	",y
"Presbyterian College	",n
"Princeton University	",y
"Purdue University--West Lafayette	",n
"Randolph-Macon College	",n
"Randolph-Macon Woman's College	",n
"Reed College	",n
"Rensselaer Polytechnic Institute	",n
"Rhodes College	",n
"Rice University	",y
"Richard Stockton College of New Jersey, The	",n
"Ripon College	",n
"Robert Morris University	",n
"Rochester Institute of Technology	",n
"Rutgers University--New Brunswick	",n
"Rutgers University--Newark	",n
"Saint John's University	",n
"Saint Louis University	",n
"Saint Olaf College	",n
"Salem College	",n
"San Diego State University	",n
"Sarah Lawrence College	",n
"Scripps College	",n
"Seattle Pacific University	",n
"Seton Hall University	",n
"Shenandoah University	",n
"Siena College	",n
"Skidmore College	",n
"Smith College	",n
"South Dakota State University	",n
"Southern Illinois University--Carbondale	",n
"Southern Methodist University	",n
"Southwestern University	",n
"Spelman College	",n
"St. Andrews Presbyterian College	",n
"St. John Fisher College	",n
"St. John's College	",n
"St. John's College	",n
"St. John's University	",n
"St. Lawrence University	",n
"St. Mary's College of Maryland	",n
"Stanford University	",y
"Stevens Institute of Technology	",n
"Stony Brook University--SUNY	",n
"Suffolk University	",n
"SUNY College of Environmental Science and Forestry	",n
"Swarthmore College	",y
"Sweet Briar College	",n
"Syracuse University	",n
"Temple University	",n
"Tennessee Technological University	",n
"Texas A&M University--College Station	",n
"Texas Christian University	",n
"Texas Tech University	",n
"The Catholic University of America	",n
"Thomas Aquinas College	",n
"Transylvania University	",n
"Trinity College	",n
"Tufts University	",y
"Tulane University	",n
"Union College	",n
"Union University	",n
"University at Albany--SUNY	",n
"University at Buffalo--SUNY	",n
"University of Alabama	",n
"University of Alabama--Birmingham	",n
"University of Alabama--Huntsville	",n
"University of Alaska--Fairbanks	",n
"University of Arizona	",n
"University of Arkansas	",n
"University of California--Berkeley	",y
"University of California--Davis	",n
"University of California--Irvine	",n
"University of California--Los Angeles	",y
"University of California--Merced	",n
"University of California--Riverside	",n
"University of California--San Diego	",n
"University of California--Santa Barbara	",n
"University of California--Santa Cruz	",n
"University of Central Florida	",n
"University of Chicago	",y
"University of Cincinnati	",n
"University of Colorado--Boulder	",n
"University of Colorado--Denver	",n
"University of Connecticut	",n
"University of Dallas	",n
"University of Dayton	",n
"University of Delaware	",n
"University of Denver	",n
"University of Florida	",n
"University of Georgia	",n
"University of Hartford	",n
"University of Hawaii--Manoa	",n
"University of Houston	",n
"University of Idaho	",n
"University of Illinois--Chicago	",n
"University of Illinois--Urbana-Champaign	",n
